"@115911 how much for the iPhone x with the jump? I’m not spending $200 plus on a phone 😂 sry | @116686 We'd love to provide you all the details, please DM for info! *JohnWard"
"Anyone's #iPhoneX pre-order shipped by @TMobileHelp @115911 got picked up by @115817 or does it still says ""Ready for UPS""? | @127980 Hey Ashish! We would be happy to look into your order. :) Send me a DM here: https://t.co/QIHNBDHoV8. *LaurenWalker"
@TMobileHelp Hi. Needing assistant with my trade-in for the iPhone X. | @127983 You've come to the right place! DM us and we'll take a look :) #MagentaToTheRescue *AshleyHamilton
@115714 Customer service is saying some of the iPhone x will not be delivered on Nov 3 because its not yet shipped. Is that true? | @129670 We're getting them out as quick as Apple will get them to us!   Congratulation on your purchase!
@115714 Customer service is saying some of the iPhone x will not be delivered on Nov 3 because its not yet shipped. Is that true? | @129670 Your status is available 24 hours after placing your order
@115714 Customer service is saying some of the iPhone x will not be delivered on Nov 3 because its not yet shipped. Is that true? | @129670 Find out the status of your order at https://t.co/hqOnhxrGCa. by entering the order number listed in your confirmation email.
"@115714 And I visit my wife and son went to Sprint they talked me into going to Sprint Connor iPhone 6s Plus. Preowned my bill is over $200 they’re liars I have asked for service to be removed they haven’t he said activation fee is waived they didn’t do it I hate this company | @131312 Thank you for reaching out to us. Please, send us a Direct Message so we can review this for you. -CL https://t.co/rMApsV8PQY"
"@115714 is pushing me into the arms of @115725 or @115911 depending which one has a bogo on iPhones #HorribleService | @131313 We have great offers on iPhones! Send us a DM, lets work this out! We would hate to see you leave us. -PB. https://t.co/rMApsV8PQY"
I want the #iPhoneX I wonder do the @115714 @sprintcare store in Cape have em in stock? 🤔 | @133667 Let's figure it out! Send me a DM so that I can further assist you. -ND
@sprintcare @115714 not happy with false advertising. Ordered new iPhones online from you bc as said no activation fee if orders online. yet I get charged activation fees? Plz explain | @134196 I would be more than happy to review the fees for a resolution.  Please DM your contact information. https://t.co/rMApsV8PQY
"@TMobileHelp Is there a list of devices that support Enhanced Voice Services? Specifically will you support it on the Pixel 2? Looks like Android 8.1 will bring HD voice and LoLTE to #pixel2 on AT&amp;T so it would be nice to have a differentiator since the Pixel 2 is capable of EVS | @135514 Hey there, I can surely look into that for you. Click my pic and send me a DM. https://t.co/qq38zSSEWu *JessicaCanada"
"I called @115911 on the 16th to see what they have goin on with the iPhone X. Speak with them again on the 27th. Call today and they say that convo on the 27th never happened... HOW IS IT THE COMPANY I PAY TO OWN A PHONE CANT EVEN KEEP ACCURATE PHONE RECORDS or is it a scam? 🤔 https://t.co/btbiPxpPc6 | @136982 No scams here! Lets get tot eh bottom of this, send a DM our way! *MelJ"
"@TMobileHelp my mom's iPhone broke and she is looking to replace her phone with a Samsung On5 sm-g550t1, is this particular phone supported by your network? | @136988 Aww, that's not good to hear. I'll be glad to take a look and make sure we're getting her up and running ASAP. Meet me in DM https://t.co/vFlxW8eRD7 *RyanCulpepper"
"@TMobileHelp hi, what’s the number I need to call to activate my sim for my new iPhone X | @137515 Say what!? NEW iPhone X in house!! Meet me in DM and I'll be sure to be your #MagentaExpert 😁https://t.co/8bTARZljkY *GabiMcGinty"
@115714 @138028 Every time I have called the same responses. We are getting it soon. Yeah that was three years ago. If I would have know this without it being hidden I would have never🤦🏾‍♀️. How you got iPhones but no reliable internet. | @138027 Hello I am sorry I understand how important this feature is to you. We do offer this feature on our Android devices. And Sprint is constantly working to improve the network. -FR
"@115911 @TMobileHelp I ordered iPhone X 2 days ago using JoD. The electronic signature email not coming through. Multiple calls to customer support, tried different email IDs, visited T-Mobile store at 21204 area - no-go. One step short of switching to another provider. | @138501 Hey, Ashish. Your #MagentaHero is here to save the day. Meet me in DM https://t.co/vFlxW8eRD7 *RyanCulpepper"
"Y’all going to ship my iphone x anytime soon or what? @115714 | @138732 Let us look into it. Please send us a Direct Message, so that we can further assist you. -LC https://t.co/rMApsV8PQY"
"@TMobileHelp Android Oreo is out for the unlocked HTC U11 Life. Any idea when the T-Mobile version will get the update? Can you confirm that it's being worked on? | @139108 Hey there, Matt. Mmmmm that Oreo goodness. Meet me in DM we can take a look. https://t.co/vFlxW8eRD7 *RyanCulpepper"
@115911 needs to hurry it up with my iPhone! | @139112 We'd love to find out what's going on! :D Please DM us here: https://t.co/gAmFrAsnx1 *PatrickUllmann
"@sprintcare @115714 Worst customer service at the Brick Plaza store in NJ. After 45 min of transfering my info from a 7 to an X, clerk tells me he deleted my contacts. What kind of morons do you have working in your stores?! I really want to return my iphone &amp; cancel my account! | @139643 We would hate to see you leave the Sprint family, please DM us to get this resolved -Maria Q"
"@TMobileHelp I just switched to T-Mobile from Sprint (iPhone to Android) and we're not able to send or receive group text messages. Help, please! @115911 | @140518 How easy would it be to tell everyone in a group text ""Happy Thanksgiving.""🦃 I got you, Christopher! Send me a DM so we can get started. https://t.co/wnPk0Kpe5r *BrittanyJones"
@115714 what Black Friday deals are you running on iPhones!! | @126418 Happy thanksgiving! Check out these great deals &gt; https://t.co/OLXF2ShjmN :D -MP
@TMobileHelp got my new iPhone. How can I activate it on the t mobile network? I cannot get a hold of a t mobile cust. ser. rep. A 2 hr wait | @140997 We've got your back and are definitely happy to help get this going for you. Send us a DM and we'll get to work. https://t.co/w4odcPEa5r *MattLegleiter
@TMobileHelp Can you help me better understand some of the terms of the current iPhone BOGO offer? | @141682 Hey there!  I am happy to do so!  Let's dive in and check it out! Can you DM me? - https://t.co/Llbz2sQI37 *JohnKuhn
@TMobileHelp Hi! I’m having an issue with my new iPhone 8+. The auto brightness feature is missing and it appears to be a hardware issue. I have been troubleshooting w/Apple for two days and nothing. Can I get a new phone in store? | @141685 Let's see what we can do to turn this around and get you a working phone. Shoot me a DM https://t.co/RpP6DJRBrH *MarvaBiggar
@115990 Yo Verizon @ me @115911 @115714  who wants my business https://t.co/EzPgVinMHz | @142059 Switch to Sprint and save $350 on iPhone X or iPhone 8 with Sprint Flex. Contact us via 866-789-8292 Monday - Sunday: 8:00 AM - 8:00 PM Chat: 24x7. -JJ
"@115911 Im looking for an iphone 8plus. I already have a plan but im wondering if there is another deal? | @142743 We can take a closer look to find the best deals for you, Patrick. Send us a DM! *RickK"
"If I give you an MEID, would you be able to get in touch with a phone owner so that I can return their iPhone?  @sprintcare | @143320 Unfortunately, we won't be able. Please get in contact with Apple Inc or visit their website: https://t.co/mh1somrExo -S M"
"@TMobileHelp Hi, I’ve been having RAM memory problems with my iPhone SE that was bought last year. Can I get a new one for free if I go where it was bought? | @143864 RAM issues!? We gotta get that fixed! Shoot me a DM and we'll get you fixed up! https://t.co/99Z9nj0518 *RyanMitchener"
"@115911 I guess since the new WAY overrated/overpriced iPhone is out now obviously it’s time for my year old phone to start messing up constantly. Plz tell me why i pay $100+ a month for this shit phone to not work?? Get your shit together bro. | @144335 I need my phone to be on point 24/7 so I feel you. Shoot me a DM, so I can get some more info, and help get your phone working again. *JPL"
"@TMobileHelp any Black Friday deals for customers on the Jump program upgrading from iPhone 7? | @118401 We call it #MagentaFriday around here, you can check out our holiday offers right here https://t.co/p6mO5INt1p Shoot me a DM with any questions! https://t.co/RpP6DJRBrH *MarvaBiggar"
"Tomorrow (Black Friday) my family will be switching 4 iPhones and 4 lines from @115725 (@115990) to @115911 (@TMobileHelp) after many years because TMobile has killer iPhone deals and Verizon does not. Simple as that. | @144667 We're so happy to have you join the team, Doug! You'll love being a part of Team Magenta! *ValerieP"
@sprintcare I’ve been waiting for my iPhone X to show up at my local sprint store for like 3 weeks now. Can you get me an eta please | @145324 Hello Alex! We're all excited to get the amazing iPhone X and demand is through the roof. Please follow us and send us a DM so that we can take a look into this for you. Looking forward to assisting you today! - RC https://t.co/rMApsV8PQY
"@115714 My iPhone  8+ was not activated properly at store, have no service... phone support wasn’t able to help either. HELP! | @145326 Allow us to take a better look into this! Please send us a DM to further assist you. - DB https://t.co/rMApsV8PQY"
"@TMobileHelp @115911 @115913 does this include the iPhone X? https://t.co/Tkd2NWKcfG | @147422 @115913 While super-phones like the iPhone X are not included, you can find some great Smartpick devices that'll fit your needs! *RachaelTansey"
"What sucks is my iPhone won’t get a working signal no matter what kinda of 4G LTE area I am in. It only works on WiFi for some reason and all #sprint have me do is just Reset the network over n over to no Avail. @115714 | @147656 Hi there! We'd like to take care of this for you. Please, follow us and DM us to further assist you. -IG https://t.co/rMApsV8PQY"
@TMobileHelp No BF promotion for existing customers who want 2 upgrade 2 iPhone 8 but don’t want to add any new line? The EIP plan is just spreading the retail price over 24 months. Same with JOD for 18 months. Very disappointed. Better to buy from Apple store! Tmobile ruined BF! | @148134 Thanks so much for reaching out to us. We have awesome deals available. Shoot me a dm so we can chat. :) https://t.co/Hch7N8hFAc *ConnieMixson
"@TMobileHelp If you’re doing the buy-one-get-one deal, can you trade in your old phone towards the purchase of one of the iPhones? | @148393 Hey Jonathan, our BOGO is #SIRIously amazing, send me a DM https://t.co/9IUH5Nit1g and I'll get you the deets 🍏! *AmberSellers"
"@115913 @115911  5 inch Dual SIM Android Smartphone Octa Core 8GB Cell Phone.  Is it easy to use a 3rd party phone with #TMobile ?

https://t.co/1WZgcrxwqQ | @142417 @115913 This is a great link to bookmark! You can check the device compatibility here https://t.co/p9miFNbWpN *RachaelTansey"
"@116447 Am a loyal customer for 28 years.. tried to purchase new iPhone at Target.  I was 1st customer after standing in line for 4 hours.  Sales person ""locked"" ?? my account for 24 hours.  Not a happy customer | @148973 @116447 If you have concerns that need addressing Team @116447 is more than happy to assist.  Please DM your contact information. https://t.co/rMApsV8PQY"
"@139105 @TMobileHelp @115911 @115913 I recently added new lines. I was hoping to get you’re buy one get one iPhone deal. Can you do this for me? Thanks | @149616 @115913 Hey there, Chris. We'd be happy to check out your account and go over how this new BOGO promotion would work for you. DM us: https://t.co/cuEwtd2epS *DanKing"
"Hey @115911, my brother wants to get the new iPhone X but needs help with the down payment. Any Black Friday magic to help him out? @115913 | @150143 @115913 While there's no offers for a lower down payment, we do have great offers going including up to $300 off on an iPhone X with applicable phone trade-in. Check out all offers, here: https://t.co/38Et9rf5Dp *DanKing"
"hi, i am doing the trade in for my iphones to get the $300 on the iphone x orders, i need to confirm you guys have the right IMEI and can you please give me the shipping label?@115913 @TMobileHelp | @150482 @115913 We've got your back and would love to help out, Heng. We'll be meeting you back in DM ASAP to get started. *DanKing"
"Does anybody from #tmobile devs can fix the bug in their Server/Database + client Android and Web app? Client side apps want set me as a Primary Account Holder. Callcenter support and guys from T-mobile stores can't do it during ~1year...

 @115911 @TMobileHelp @115913 | @150484 @115913 Hey there, Andrew. We want to check this out with you and help. Please send a DM our way: https://t.co/cuEwtd2epS *DanKing"
"@115911 sent me a damaged #iPhoneX and then forgot to send me the return label. I get told today my conditions on returns is device can’t be damaged.  What? I better not get charged $1k for a broken device that was sent to me. #frustrated #wtf #TMobile | @150888 Let’s make sure you get the iPhone X you paid for, a non-damaged one! Thanks for the DM, I’ll meet you there! https://t.co/n6tQTx28XN *OliviaStewart"
"@115714 48min ""in line"" is garbage and you should be ashamed of your ability to execute as business.   #iPhoneX | @151437 I'm sorry for the trouble, let's get this fixed for you. Are you still having issues preordering the device? -SA"
@115714 are the Black Friday iPhone deals valid for current users or just new lines of service? | @152119 Which offer are you making reference to in specific? - JM
"Fun fact learned today:  An iPhone on @115714 cannot make a call &amp; access LTE.  So if u need maps &amp;  someone calls, or need to find something requiring internet while on a call, u out of luck.  When I asked store when it's going to be fixed?  ""I dunno.""  How is this possible? | @152124 This situation concerns us. Please, feel free to send us a Direct Message, so that we can further assist you. - FS"
"I’m w @ATT but a free agent. They’re giving me the run around red-tape to upgrade iPhones. Going to @115911 now. Might be #TeamMagenta soon @115913 | @152655 @115913 We've got an extra spot just for you on the Magenta Squad, Carson. DM us anytime if we can help with the switch: https://t.co/cuEwtd2epS *DanKing"
"Just tried to JUMP to the iPhone 8, but only to find out that T-Mobiles servers are down on Black Friday..... @115911 @115913 | @152665 @115913 We want your upgrade experience to be an enjoyable one. DM us so we can take a look and help: https://t.co/cuEwtd2epS *DanKing"
@115714 hiiiii can someone competent from customer service please call me since i spent an hour &amp; a half on the phone and got nowhere &amp; i just want an iphone x | @153506 We will be happy to reach out. Can you DM us your phone number please? Thank you.
"Beyond irritated at both @115714 and @115858. Ordered my iPhone 10 over two weeks ago, still nothing. Call the store, the only thing they say is “it’s back ordered and we don’t know when it’ll be here.” | @153507 Did you place order online or though the store? If it was online, you can check the status of your order going to https://t.co/RDgqxv7W9w , if it was through the store, they'll contact you as soon as they have it on stock. -PC"
@115911 Good morning! Can the BOGO offer be combined with the $300 trade-in offer? Example: Trade in an iPhone 6 ($300 trade-in offer) to buy two iPhone 8 Plus and an iPhone 8 (BOGO offer) | @153561 Hey Danny! The $300 trade in offer is not combinable with any other offers. Shoot us a DM if you have any questions!! *KittyG
"@TMobileHelp 17+ yrs customers and one more line needs a phone update, (phone is not working) so are you going to help and how will you do? @115913 17yrs (5 lines) we are not your normal customers!! I need an iPhone 7s or 8s so an update on one line...what can you do for us? | @153564 @115913 17 years is incredible, Alija. We'd be happy to go over upgrade options with you. Send a DM our way to get started: https://t.co/cuEwtd2epS *DanKing"
"Why has it been 3 months and @115714 still hasn't given me my refund on the iPhone 8.. which I never got!!! | @154074 Thank you for reaching out to us here. We'd like to assist, but we'll need some account information. Please send us a Direct Message, so that we can further assist you. -S M"
@116447 Very dissapointed with iphone forever plan and not being disclosed all the additional fees and restrictions. I’m sure I’m not alone in this #expectmorefromsprint | @154079 Please follow and DM your contact #. Team @116447 will reach out to help. https://t.co/U4DQBNPGVa
"@115913 @115911 where are the phone deals for us loyal customers who don't need a new line? #TMobile #BlackFriday @115725 @ATT and @115714 all have good deals for me. | @154441 @115913 You can check out all the sweet deals we have going on, here: https://t.co/38Et9rf5Dp including up to $300 off an iPhone X with approved trade-in. *DanKing"
"Fuck off @115911 &amp; @115858 making my iPhone glitch &amp; freeze IM NOT BUYING A NEW ONE U BREAK THIS ONE AND IM OUT! | @154443 Wind, we realize how important it is to have a working device. Please DM us. We'll check it out. *GiselleM"
@TMobileHelp it seems like UPS lost my iPhone upgrade and everyone at the Tmobile website/chat is giving a conflicting answer. Need help. | @140111 That's heartbreaking to hear that your phone got lost during the shipping! I want to make sure that you're getting your phone! Send me a DM so we can look into our options for you. :) *SultanGardezy
"@115911 Hi, I have 2 lines for $100 (w/3rd free line), can i take advantage of the BOGO iPhone deal? | @155236 Hey Sam! Are you on our #TMobileONE plan? DM us here and we'll look into your account and discuss your eligibility with you. *BlakeT"
"@TMobileHelp I need help! Check your DM! | @155238 Hi! Oh no, I am sorry to hear that your screen to your iPhone is broken. Let me review your account and see what we can do for you. *ShirleyF"
"@115714 I ordered my iPhone X last week on Monday the 13th &amp; the manager at the retail location I ordered from asserted that it would be here before thanksgiving, and now they said it will be unavailable until December due to “back ordering” why is there a shortage ? | @155337 Apple is still working on fulfilling orders."
@116447 @sprintcare order the iPhone 7 128gb on 11/22 no option to pick up at store paid $10 for overnight and still no phone...Really | @155341 We would love to help. Have you checked your order status at https://t.co/1Q02mUdRjj yet? Please DM us so we can help look into it for you. Team @116447 https://t.co/Mc4AkXi5oL
@TMobileHelp Need help with $300 iPhone trade in. Try calling in and no one can tell me the status or when they schedule call backs no one follows up.  Getting transferred backig forth between Customwr Care and Rebates. | @124524 Yikes! This isn't what I want to hear! Send me a DM so we can check it out and get you some answers. https://t.co/cbaCC4dPoJ *MichelleWalker
"I'm sorry but @115911 is no good in SoCal. Especially in doors like grocery store or gym. Goes to no service &amp; LTE is useless. Have to completely disable LTE on iPhone in order to have some working service. #horrible #leavingsoon @119943 take me back! I'm sorry I left you | @155658 Let's make sure you're able to listen to your music while in the gym, Beto! Let us know where this is happening through DM, and we can make sure you have the best speeds! 😘 *TarynS"
@115714 started charging us $25/no 4 an iphone6s that we own. Claiming it's for payment on the phone. Wtf | @155985 Hey! Allow us to look into this. Send us a DM to review. - GS https://t.co/rMApsV8PQY
"Too bad I have to leave @115911 then come back later to get a good X deal @115913 | @126401 @115913 Our iPhone X deal is available for both new and existing customers to get up to $300 off when trading in a qualified phone. Check it out, here: https://t.co/38Et9rf5Dp *DanKing"
@TMobileHelp @115913 - looking for help on BOGO iphone offer on my existing lines. Have been a loyal tmobile customer for 7 years now | @156062 @115913 I am here to help with an upgrade. Click https://t.co/Mww69Rzn7a to send me a message so we can chat. *AshleyNelson
"@115913 Visiting family and their iPhone X arrived. Until they picked up the box and it was open and NO iPHONE in it! Just an empty T-Mobile Box! TMobile is no help.  They should be overnighting her a new phone - not making her wait 10 days for an investigation. Horrible. | @156066 @115913 Oh goodness, I want to get to the bottom of this with your family. Please have them Click https://t.co/Mww69Rzn7a to send me a DM so I can help. *AshleyNelson"
@115913 tried to get 2 iPhone 8 Plus on jump don’t have enough eclimit jump on demand is a lie! | @156060 @115913 Upgrading is an exciting time and I want to help. Click https://t.co/Mww69Rzn7a to send me a DM so I can help. *AshleyNelson
"@115913 just unsuccessfully tried to switch to @115911 from vzw. Wallet was out, ready to buy 2 iphone 8’s. Couldnt complete transaction because of ‘system upgrades’. On Black Friday? Yikes. Feel bad for the sales associate who just lost his commission. | @156073 @115913 I want to ensure that we get you set up. Click https://t.co/Mww69Rzn7a to send me a message so we can chat. *AshleyNelson"
@TMobileHelp can I do the iPhone 8 Plus deal with existing lines? | @156424 Hey there we are here to help!!! Shoot me a DM and we will go over all the details!!!! *ColterP
"Love my speeds when on a call @TMobileHelp #VoLTE #speedtest #Pixel2XL #Android #Google https://t.co/bZ1V1jpZvh | @156432 Sweet deals! I love that you are getting the BEST speeds, friend! #TimeForAMagentaHappyDance ;) https://t.co/P5ACUoCEw4 *ChasityScanlanSevao"
So I'm on @115714 and have not been able to get 2fa verification code texts (and other automated texts) since I upgraded to my iPhone 8S. Anyone else? It's been 4 weeks with no fix from Sprint and I am NOT HAPPY | @127840 Hello there! Please send us a Direct Message to further assist you. -DM
"@TMobileHelp for the buy 1 gift 1 deal , could It be posible to get iPhone and Samsung together as the buy buy gift 1? | @157326 Hey Bri I can get you the info you are looking for. Send me a DM here https://t.co/LCoTGMV7tC. *KennethStone"
"I pay $12/mo for @115911 Jump on an iPhone 6+. To upgrade to an iPhone X is $279, &amp; an 8+ is $79. Not seeing the financial advantage. https://t.co/w92D1Le047 | @157340 I want you to have all the details about completing a Jump upgrade. Click https://t.co/Mww69Rzn7a to send me a message so we can chat. *AshleyNelson"
"@TMobileHelp iOS update 11.1.2 not doing good on iPhone x. Typeing issues and keep loosing reception. | @157344 Yikes! Sounds like you need a superhero! Good news I'm ready to rock and roll! Shoot me a DM, and I'll teach you the tricks!! https://t.co/oIBK3mlmoz *DannyHarvey"
"@sprintcare
Received a call from (800) 777-4681 claiming to be Sprint. Offered me a new iPhone for a one-time payment but said I couldn’t go into a Sprint store for the deal.
Real? - if so, I don’t do deals over the phone.
Fake? - Please investigate. | @157433 No Sir, we would never do that. It was a scam."
Traded in my iPhone 6 to @793-mobile for a 300 credit.  Told it was denied.  Submit appeal...  still denied.   You have my phone!  Apply credit or I go back to @115725 Ref# 07426550. @TMobileHelp #tmobile | @157633 Let me look into this for you. Shoot me a DM and I'll be happy to help! *AustinPower
"@TMobileHelp trying to get the iphone bogo, has been a pain, customer sales have different information for this on existing plans, plus bad attitude . | @157871 Howdy, Rafael! I assure you that you have reached the right place for assistance, and I applogize for the experience that you received previously! Please send me a DM to chat, so we can clear everything up! Thanks in advance! ;) *ZachReyes"
